Grade,Gauge,Month,National,Weight Purchased,Weight Sold,Weight Consumed
DC,.134 SW,2023-07-01,0,0.0,6682.49999999999,0.0
DC,.134 SW,2023-07-01,1,0.0,3210.0,0.0
DC,.134 SW,2023-08-01,0,21371.01388888889,0.0,6250.125
DC,.134 SW,2023-08-01,1,128216.42752525253,0.0,0.0
DC,.134 SW,2023-09-01,0,21141.501010101012,0.0,12065.972222222223
DC,.134 SW,2023-09-01,1,89315.65555555555,2568.0,0.0
DC,.134 SW,2023-10-01,0,54379.21666666667,0.0,20457.083333333332
DC,.134 SW,2023-10-01,1,95609.92222222223,0.0,31513.428571428572
DC,.134 SW,2023-11-01,0,9245.363636363636,22984.97,17664.23611111111
DC,.134 SW,2023-11-01,1,4613.636363636364,54209.0,19188.375
DC,.134 SW,2023-12-01,0,60294.48737373738,16572.59999999998,0.0
DC,.134 SW,2023-12-01,1,84912.03409090909,69682.2,99014.16616161617
DC,.134 SW,2024-01-01,0,0.0,0.0,5411.111111111111
DC,.134 SW,2024-01-01,1,0.0,163048.0999999999,32466.666666666668
DC,.134 SW,2024-02-01,1,16057.0,4815.0,0.0
DC,.134 SW,2024-03-01,0,0.0,9890.09999999999,8441.212121212122
DC,.134 SW,2024-03-01,1,0.0,4815.0,10240.677777777777
DC,.134 SW,2024-04-01,0,0.0,0.0,46059.472222222226
DC,.134 SW,2024-04-01,1,0.0,28613.0,65066.77777777778
DC,.134 SW,2024-05-01,0,25882.0,61041.08,20026.8
DC,.134 SW,2024-05-01,1,68086.33333333333,0.0,24789.588888888888
DC,.134 SW,2024-06-01,0,0.0,4726.16,9082.316666666666
DC,.134 SW,2024-06-01,1,42470.16666666667,42063.6,104901.53333333333
DC,.134 SW,2024-07-01,0,6341.0,0.0,0.0
DC,.134 SW,2024-07-01,1,40526.20833333333,63033.0,4537.545454545455
DC,.134 SW,2024-08-01,0,0.0,9890.09999999999,4631.727272727273
DC,.134 SW,2024-08-01,1,0.0,0.0,37667.670454545456
DC,.134 SW,2024-09-01,0,0.0,0.0,30035.09090909091
DC,.134 SW,2024-09-01,1,6057.25,48015.0499999999,29144.454545454544
DC,.134 SW,2024-10-01,0,5000.0,27848.11,30691.616161616163
DC,.134 SW,2024-10-01,1,45000.0,62594.9999999999,82246.33333333333
DC,.134 SW,2024-11-01,0,107825.14285714286,0.0,32223.0
DC,.134 SW,2024-11-01,1,69250.85714285714,25359.0,0.0
DC,.134 SW,2024-12-01,1,0.0,0.0,42470.16666666667
DC,.134 SW,2025-01-01,1,0.0,35226.0,6057.25
DC,.145 ST,2022-02-01,1,0.0,13171.2,0.0
DC,.145 ST,2022-03-01,0,0.0,10164.3,0.0
DC,.145 ST,2022-03-01,1,0.0,13428.0,0.0
DC,.145 ST,2022-04-01,0,0.0,3718.5,0.0
DC,.145 ST,2022-04-01,1,0.0,4527.6,0.0
DC,.145 ST,2022-05-01,0,0.0,9055.2,0.0
DC,.145 ST,2022-05-01,1,0.0,7608.7,0.0
DC,.145 ST,2022-06-01,0,10240.571428571428,3755.4,0.0
DC,.145 ST,2022-06-01,1,34448.78571428572,13171.2,0.0
DC,.145 ST,2022-07-01,1,0.0,2392.2,0.0
DC,.145 ST,2022-08-01,0,0.0,21455.3,0.0
DC,.145 ST,2022-08-01,1,0.0,5041.3,0.0
DC,.145 ST,2022-09-01,1,0.0,33584.85,0.0
DC,.145 ST,2022-10-01,0,0.0,5472.08,0.0
DC,.145 ST,2022-10-01,1,0.0,13582.800000000001,0.0
